category,sub_category,block,Option1,Option2,Option3,Option4
UTILITY,UTILITY_4,9,ineffective,usable,rich,economical
UTILITY,UTILITY_4,10,perfect,high-performing,ineffective,adaptable
UTILITY,UTILITY_4,11,perfect,seamless,transformative,economical
UTILITY,UTILITY_4,12,seamless,high-performing,dependable,rich
UTILITY,UTILITY_4,13,seamless,ineffective,implementable,straightforward
UTILITY,UTILITY_5,1,adequate,ineffective,high-yielding,practical
UTILITY,UTILITY_5,2,efficacious,ineffective,effective,purposeful
UTILITY,UTILITY_5,3,efficacious,ineffective,high-yielding,practical
UTILITY,UTILITY_5,4,ineffective,effective,high-yielding,extensible
UTILITY,UTILITY_5,5,efficacious,adequate,high-yielding,purposeful
UTILITY,UTILITY_5,6,adequate,effective,extensible,practical
UTILITY,UTILITY_5,7,ineffective,effective,purposeful,practical
UTILITY,UTILITY_5,8,efficacious,adequate,ineffective,extensible
UTILITY,UTILITY_5,9,high-yielding,purposeful,extensible,practical
UTILITY,UTILITY_5,10,efficacious,adequate,effective,practical
UTILITY,UTILITY_5,11,adequate,effective,high-yielding,purposeful
UTILITY,UTILITY_5,12,efficacious,effective,high-yielding,extensible
UTILITY,UTILITY_5,13,efficacious,purposeful,extensible,practical
UTILITY,UTILITY_5,14,adequate,ineffective,purposeful,extensible
UTILITY,UTILITY_6,1,scalable,efficient,adequate,intuitive
UTILITY,UTILITY_6,2,ready,efficient,transformative,tailored
UTILITY,UTILITY_6,3,ready,efficient,adequate,intuitive
UTILITY,UTILITY_6,4,efficient,transformative,adequate,viable
UTILITY,UTILITY_6,5,ready,scalable,adequate,tailored
UTILITY,UTILITY_6,6,scalable,transformative,viable,intuitive
UTILITY,UTILITY_6,7,efficient,transformative,tailored,intuitive
UTILITY,UTILITY_6,8,ready,scalable,efficient,viable
UTILITY,UTILITY_6,9,adequate,tailored,viable,intuitive
UTILITY,UTILITY_6,10,ready,scalable,transformative,intuitive
UTILITY,UTILITY_6,11,scalable,transformative,adequate,tailored
UTILITY,UTILITY_6,12,ready,transformative,adequate,viable
UTILITY,UTILITY_6,13,ready,tailored,viable,intuitive
UTILITY,UTILITY_6,14,scalable,efficient,tailored,viable
